# {"down_first":0,"dropped_frames":0,"exercise":"deadlift","frame_period_s":0.011127756271519922,"frame_rate_hz":89.86537587630067,"line_high_m":0.03881131220686376,"line_low_m":-0.636001330726846,"line_mid_m":-0.2985950092599911,"lost_frames":34,"n_reps":12,"produced_by":"app: OfflinePipeline","session_id":"session_20260520_130825","smoother_nis":[58.736699434575456,1.257618491917814,12.804406281998217]}
rep_id,eccentric_start_frame,eccentric_end_frame,concentric_start_frame,concentric_end_frame,rom_m,peak_velocity,gap_frames,started_below,started_above,rejected
1,979,1132,809,979,0.688839,0.981621,0,1,0,0
2,1281,1394,1137,1281,0.67108,0.952936,0,0,0,0
3,1522,1637,1396,1522,0.701456,1.1356,0,0,0,0
4,1773,1887,1640,1773,0.671404,1.07923,1,1,0,0
5,1992,2123,1889,1992,0.670122,1.15081,0,1,0,0
6,2250,2355,2125,2250,0.672435,1.1865,0,1,0,0
7,2487,2586,2356,2487,0.694592,1.13684,0,1,0,0
8,2695,2830,2588,2695,0.674895,1.19909,0,0,0,0
9,2960,3054,2832,2960,0.68562,1.2618,0,0,0,0
10,3146,3295,3056,3146,0.675415,1.1888,0,1,0,0
11,3418,3514,3297,3418,0.674976,1.45563,33,0,0,0
12,3631,3730,3516,3631,0.593885,1.13917,0,0,0,0
